id,nombre,created_at,updated_at,deleted_at
26,"SALA DE PARTO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
27,"RECUPERACION POST-PARTO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
28,QUIROFANO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
29,"PREPARACION PREANESTESICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
30,CIRUGIA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
31,PROCEDIMIENTOS,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
32,"RECUPERACION POST-QUIRURGICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
33,"C.E.y. E.","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
34,"LAVADO INSTRUMENTAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
35,"PREPARACION Y ENSAMBLE","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
36,ESTERILIZACION,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
37,GUARDA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
38,"SERVICIOS DE DIAGNOSTICO EN INMAGINOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
39,ULTRASONOGRAFIA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
40,"HOSPITALIZACION ADULTOS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
41,ENCAMADOS,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
42,"ENCAMADOS PEDIATRIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
43,ONCOLOGIA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
44,"ONCOLOGIA: RADIOTERAPIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
45,"ONCOLOGIA: QUIMIOTERAPIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
46,"ONCOLOGIA: DISPLASIAS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
47,"ONCOLOGIA: HEMATOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
48,HEMODIALISIS,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
49,"HEMODIALISIS: NEFROLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
50,"HEMODIALISIS: DIETOLOGIA Y PSICOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
51,"CIRUGIA AMBULATORIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
52,"CIRUGIA AMBLATORIA: VALORACION","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
53,"ENFERMEDADES DE TRANSMISION SEXUAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
54,"ETS: INFECTOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
55,"ETS: PSICOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
56,"ETS: MEDICINA GENERAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
57,"ETS: ESTOMATOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
58,"ETS: PROCTOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
59,"ETS: ESPECIALIDADES","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
60,DIAGNOSTICO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
61,"SERVICIOS DE DIAGNOSTICO EN IMAGINOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
62,"SERV.DIAG.IMAGIN.: RADIODIAGNOSTICO ","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
63,"SERV.DIAG.IMAGIN.: ULTRASONOGRAFIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
64,"SERVICIOS DE DIAGNOSTICO EN LABORATORIO CLINICO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
65,"SERV.DIAG.LAB.CLIN: SECCIONES TECNICAS DE LABORATORIO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
66,"SERV.DIAG.LAB.CLIN: HEMATOLOGIA Y PRUEBAS DE COAGULACION","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
67,"SERV.DIAG.LAB.CLIN: QUIMICA CLINICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
68,"SERV.DIAG.LAB.CLIN: GASOMETRIA Y ELECTROLITOS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
69,"SERV.DIAG.LAB.CLIN: PRUEBAS FUNCIONALES DE ORINA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
70,"SERV.DIAG.LAB.CLIN: HORMONAS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
71,"SERV.DIAG.LAB.CLIN: PRUEBAS DE INMUNOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
72,"SERV.DIAG.LAB.CLIN: BACTERIOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
73,"SERV.DIAG.LAB.CLIN: VIROLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
74,"SERV.DIAG.LAB.CLIN: PARASITOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
75,"HEMODIALISIS: HEMODIALISIS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
76,"HEMODIALISIS: CURACIONES","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
77,"HEMODIALISIS: SALA DE PROCEDIMIENTOS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
78,"SERVICIOS DE CIRUGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
79,"SERV.CIRUGIA: PREPARACION PREANESTESICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
80,"SERV.CIRUGIA: CIRUGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
81,"SERV.CIRUGIA: PROCEDIMIENTOS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
82,"SERV.CIRUGIA: RECUPERACION POST-QUIRURGICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
83,GOBIERNO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
84,"GOBIERNO: DIRECCION","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
85,"GOBIERNO: ZONA DIRECTIVA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
86,"GOBIERNO: JEFATURA DE ENFERMERIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
87,"GOBIERNO: ADMINISTRACION","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
88,"GOBIERNO: JEFATURAS DE SERVICIOS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
89,RELACION,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
90,"RELACION: ARCHIVO CLINICO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
91,"RELACION: CENTRO DE INFORMACION","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
92,"RELACION: INFORMACION Y ORIENTACION","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
93,"RELACION: TRABAJO SOCIAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
94,APOYO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
95,"APOYO: CENTRAL DE EQUIPOS Y ESTERALIZACION (C.E. y E.)","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
96,"APOYO: FARMACIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
97,"APOYO: ROPERIA GENERAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
98,"APOYO: ALMACEN GENERAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
99,"APOYO: CONSERVACION","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
100,"APOYO: SERVICIOS GENERALES DE APOYO A PERSONAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
101,"CONSULTA EXTERNA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
102,"CONSULTA EXTERNA: CONSULTA DE ESPECIALIDADES","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
103,"CONSULTA EXTERNA: IMAGINOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
104,"CONSULTA EXTERNA: RADIODIAGNOSTICO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
105,"CONSULTA EXTERNA: ULTRASONOGRAFIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
106,"MASTOGRAGIA Y DESINTOMETRIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
107,"CONSULTA EXTERNA: TOMOGRAFIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
108,"CONSULTA EXTERNA: LABORATORIO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
109,"CONSULTA EXTERNA: ELECTRODIAGNOSTICO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
110,"CONSULTA EXTERNA BASICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
111,"CONSULTA DE ESPECIALIDADES","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
112,"CONSULTA DE ESPECIALIDADES: IMAGINOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
113,"CONSULTA DE ESPECIALIDADES: RADIODIAGNOSTICO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
114,"CONSULTA DE ESPECIALIDADES: ULTRASONOGRAFIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
115,"CONSULTA DE ESPECIALIDADES: MASTOGRAFIA Y DENSITOMETRIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
116,"CONSULTA DE ESPECIALIDADES: TOMOGRAFIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
117,"CONSULTA DE ESPECIALIDADES: LABORATORIO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
118,"CONSULTA DE ESPECIALIDADES: ELECTRODIAGNOSTICO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
119,COLPOSCOPIA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
120,GERONTO-GERIATRIA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
121,"INHALOTERAPIA DE CONSULTA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
122,"ANATOMIA PATOLOGICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
123,"UNIDAD DE MEDICINA NUCLEAR","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
124,URGENCIAS,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
125,TOCOCIRUGIA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
126,"PUERPERIO DE BAJO RIESGO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
127,"HOSPITALIZACION GINECOBSTETRICIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
128,"HOSPITALIZACION MEDICINA INTERNA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
129,"HIOSPITALIZACION CIRUGIA GRAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
130,"HOSPITALIZACION PEDIATRIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
131,"CUIDADOS INTENSIVOS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
132,"CUIDADOS INTERMEDIOS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
133,C.E.N.D.I.S,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
