id,insumo_medico_clave,forma_farmaceutica_id,presentacion_id,es_controlado,es_surfactante,concentracion,contenido,cantidad_x_envase,unidad_medida_id,indicaciones,via_administracion_id,dosis,created_at,updated_at,deleted_at
12,010.000.4161.00,NULL,102,0,0,"10 mg","Envase con 30 tabletas o comprimidos.",30.00,71,"Prevención y tratamiento de la osteoporosis de hombres y mujeres.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
13,010.000.2707.00,NULL,102,0,0,"100 mg","Envase con 20 tabletas.",20.00,71,"Profilaxis o tratamiento de deficiencia de vitamina C. Acidificante urinario. Antioxidante.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
14,010.000.1711.00,NULL,102,0,0,"0.4 mg","Caja con 90 tabletas",90.00,71,"Mujeres en edad reproductiva, para prevenir defectos del cierre del tubo neural.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
15,010.000.1700.00,NULL,102,0,0,"4 mg","Caja con 90 tabletas",90.00,71,"Anemias megaloblásticas, en la infancia, embarazo, síndrome de malabsorción, esprue tropical",NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
16,010.000.1706.00,NULL,102,0,0,"5 mg","Caja con 20 tabletas",20.00,71,"Prevención y tratamiento de anemias megaloblásticas por deficiencia de ácido fólico.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
17,010.000.1706.01,NULL,102,0,0,"5 mg","Caja con 92 tabletas",92.00,71,"Prevención y tratamiento de anemias megaloblásticas por deficiencia de ácido fólico.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
18,010.000.2152.00,NULL,102,0,0,"15 mg","Caja con 5 ampolletas con 5 ml.",5.00,39,"Tratamiento de rescate en los pacientes que reciben metotrexato.",40,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
19,010.000.5233.00,NULL,102,0,0,"15 mg","Envase con 12 tabletas",12.00,71,"Tratamiento de rescate en los pacientes que reciben metotrexato.",40,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
20,010.000.0904.00,NULL,102,0,0,"0.05 g","Caja con un tubo con 20 g.",1.00,73,"Acné. Heliodermatitis. Hiperqueratosis. Hipercromía.",2,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
21,010.000.4167.00,NULL,102,0,0,"35 mg","Envase con 4 grageas o tabletas",4.00,56,"Profilaxis y tratamiento de la osteoporosis posmenopáusica. Profilaxis y tratamiento de la osteoporosis inducida por corticoesteroides.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
22,010.000.2620.00,NULL,102,0,0,"250 mg","Envase con 60 cápsulas",60.00,43,"Crisis de ausencia típicas y atípicas. Crisis convulsivas tónicoclónicas.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
23,010.000.5468.00,NULL,102,0,0,"4.0 mg","Envase con un frasco ámpula.",1.00,53,"Regulador del metabolismo óseo. Inhibidor de la resorción ósea. Tratamiento de la hipercalcemia asociada a procesos neoplásicos",7,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
24,010.000.5099.00,NULL,102,0,0,"6 mg.","Envase con 6 frascos ámpula con 2 ml.",6.00,53,"Taquicardia paroxistica supraventricular.",27,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
25,010.000.0831.00,NULL,101,0,0,"20.0 mg y 9.4 mg","Botella con 120 ml.",1.00,42,Psoriasis.,2,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
26,010.000.1345.00,NULL,102,0,0,"400 mg","Caja con un frasco con 20 ml.",1.00,52,"Ascariasis. Enterobiasis. Uncinariasis. Tricocefalosis. Teniasis. Estronguiloidosis. Himenolepiasis.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
27,010.000.1347.00,NULL,102,0,0,"200 mg","Caja con 100 tabletas.",100.00,71,"Ascariasis. Enterobiasis. Uncinariasis. Tricocefalosis. Teniasis. Estronguiloidosis. Himenolepiasis.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
28,010.000.1344.00,NULL,102,0,0,"200 mg","Caja con 2 tabletas.",2.00,71,"Ascariasis. Enterobiasis. Uncinariasis. Tricocefalosis. Teniasis. Estronguiloidosis. Himenolepiasis.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
29,010.000.2172.00,NULL,102,0,0,"14 mg","Caja con un frasco con 15 ml gotero integral",1.00,52,"Irritación ocular asociada con producción deficiente de lágrimas. Lubricante y protector del globo ocular.",NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
30,010.000.0871.00,NULL,102,0,0,"Sulfato de cobre 177 mg/g Sulfato de zinc619.5 mg/g alcanfor 26.5 mg/g","Caja con 12 sobres con 2.2 g.",12.00,69,"Piodermitis. Dermatosis impetiginizadas. Dermatitis exfoliativa.",2,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
31,010.000.3663.00,NULL,102,0,0,"10 g",NULL,1.00,52,NULL,NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
32,010.000.2503.00,NULL,102,0,0,"2.94 g","Envase con 20 tabletas",20.00,71,"Gota primaria o secundaria. Hiperuricemia.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
33,010.000.2503.01,NULL,102,0,0,"0.25 µg","Envase con 50 tabletas",50.00,71,"Gota primaria o secundaria. Hiperuricemia.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
34,010.000.3451.00,NULL,102,0,0,"16.0 mg","Envase con 20 tabletas",20.00,71,"Gota primaria o secundaria. Hiperuricemia.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
35,040.000.2500.00,NULL,102,1,0,"25 mg.  ",NULL,30.00,71,NULL,NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
36,040.000.2499.00,NULL,102,1,0,"100 µg",NULL,30.00,71,NULL,NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
37,010.000.1224.00,NULL,106,0,0,"3.7 mg/4 g o 8.9 g /100 ml","Frasco con 240 ml y dosificador.",1.00,52,"Trastornos de hipersecreción gástrica. Dispepsia.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
38,010.000.1223.00,NULL,106,0,0,"200 mg o 447.3 mg","Frasco con 50 tabletas masticables",50.00,71,"Trastornos de hipersecreción gástrica. Dispepsia.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
39,010.000.2462.00,NULL,102,0,0,"1 g","Envase con 20 comprimidos",20.00,45,Bronquitis.,39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
40,010.000.2463.00,NULL,102,0,0,"1 g","Envase con 120 ml y dosificador",1.00,52,Bronquitis.,39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
41,010.000.2012.00,NULL,102,0,0,"50 mg","Caja con un frasco ámpula.",1.00,53,"Micosis sistémicas",27,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
42,010.000.1957.00,NULL,102,0,0,"100 mg","Caja con 1 ampolleta o frasco ámpula con 2 ml.",1.00,39,"Infecciones por gram negativas susceptibles.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
43,010.000.1957.01,NULL,102,0,0,"100 mg","Envase con 2 ampolletas o frasco ámpula con 2 ml.",2.00,39,"Infecciones por gram negativas susceptibles.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
44,010.000.1956.00,NULL,102,0,0,"500 mg","Caja con 1 ampolleta o frasco ámpula con 2 ml.",1.00,39,"Infecciones por gram negativas susceptibles.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
45,010.000.1956.01,NULL,102,0,0,"500 mg","Caja con 2 ampolletas o frasco ámpula con 2 ml.",2.00,39,"Infecciones por gram negativas susceptibles.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
46,010.000.0426.00,NULL,102,0,0,"250 mg","Caja con 5 ampolletas de 10 ml.",5.00,39,"Asma Bronquial. Broncoespasmo.",27,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
47,010.000.4107.00,NULL,102,0,0,"1 mg","Envase con 6 ampolletas de 3 ml.",6.00,39,"Arritmias cardíacas. Sindrome de Wolff-Parkinson-White. Sindrome de bradicardiataquicardia. Insuficiencia coronaria. ",11,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
48,010.000.4110.00,NULL,102,0,0,"1 mg","Envase con 20 tabletas.",20.00,71,"Arritmias cardíacas. Sindrome de Wolff-Parkinson-White. Sindrome de bradicardiataquicardia. Insuficiencia coronaria. ",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
49,040.000.3305.00,NULL,102,1,0,"20 mg",NULL,20.00,71,NULL,NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
50,010.000.2111.01,NULL,102,0,0,"5 mg","Caja con 30 tabletas o cápsulas.",30.00,71,"Hipertensión arterial sistémica. Angina de pecho (estable y variante de Prinzmetal).",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
51,010.000.2128.00,NULL,102,0,0,"500 mg","Caja con 12 cápsulas.",12.00,43,"Infecciones por bacterias gram negativas susceptibles.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
52,010.000.2128.01,NULL,102,0,0,"500 mg","Caja con 15 cápsulas.",15.00,43,"Infecciones por bacterias gram negativas susceptibles.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
53,010.000.2127.00,NULL,102,0,0,"500 mg","Caja con frasco con polvo para 75 ml (500 mg/5 ml).",1.00,52,"Infecciones por bacterias gram negativas susceptibles.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
54,010.000.2129.00,NULL,102,0,0,"125 mg/31.25 mg","Caja con un frasco con 60 ml",1.00,52,"Infecciones producidas por bacterias grampositivas y gram negativas sensibles.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
55,010.000.2230.00,NULL,102,0,0,"500 mg/125 mg","Caja con 12 tabletas",12.00,71,"Infecciones producidas por bacterias grampositivas y gram negativas sensibles.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
56,010.000.2230.01,NULL,102,0,0,"500 mg/125 mg","Caja con 16 tabletas.",16.00,71,"Infecciones producidas por bacterias grampositivas y gram negativas sensibles.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
57,010.000.2130.00,NULL,102,0,0,"500 mg/100 mg","Caja con un frasco ámpula con o sin 10 ml de diluyente.",1.00,53,"Infecciones producidas por bacterias grampositivas y gram negativas sensibles.",27,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
58,010.000.1931.00,NULL,102,0,0,"500 mg","Cajae con un frasco ámpula y 2 ml de diluyente.",1.00,53,"Infecciones por bacterias gram positivas y gram negativas susceptibles.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
59,010.000.1930.00,NULL,102,0,0,"250 mg","Caja con un frasco con polvo para 60 ml y dosificador.",1.00,52,"Infecciones por bacterias gram positivas y gram negativas susceptibles.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
60,010.000.1929.00,NULL,102,0,0,"500 mg","Caja con 20 tabletas o cápsulas.",20.00,71,"Infecciones por bacterias gram positivas y gram negativas susceptibles.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
61,010.000.4490.00,NULL,102,0,0,"30 mg","Envase con 20 tabletas",20.00,71,"Esquizofrenia aguda. Esquizofrenia crónica.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
62,010.000.4491.00,NULL,102,0,0,"20 mg","Envase con 10 tabletas",10.00,71,"Esquizofrenia aguda. Esquizofrenia crónica.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
63,010.000.4492.00,NULL,102,0,0,"30 mg","Envase con 10 tabletas",10.00,71,"Esquizofrenia aguda. Esquizofrenia crónica.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
64,010.000.3307.00,NULL,102,0,0,"10 mg","Envase con 14 cápsulas",14.00,43,"Trastorno del déficit de atención con hiperactividad.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
65,010.000.3308.00,NULL,102,0,0,"500 mg","Envase con 14 cápsulas",14.00,43,"Trastorno del déficit de atención con hiperactividad.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
66,010.000.3309.00,NULL,102,0,0,"0.75 g","Envase con 14 cápsulas",14.00,43,"Trastorno del déficit de atención con hiperactividad.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
67,010.000.5106.00,NULL,102,0,0,"2.5 mg","Envase con 10 tabletas.",10.00,71,"Hipercolesterolemia. Hiperlipidemias.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
68,010.000.0204.00,NULL,102,0,0,"1 mg","Caja con 50 ampolletas de 1 ml.",50.00,39,"Preanestesia. Arritmias cardiacas. Bradicardia. Bloqueo A-V.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
69,010.000.2872.00,NULL,102,0,0,"30 mg","Envase con gotero integral con 15 ml",1.00,52,"Procesos inflamatorios de la córnea, del iris y del cuerpo ciliar.",38,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
70,010.000.2873.00,NULL,102,0,0,"0.2 mg","Envase con 3 g",1.00,73,"Procesos inflamatorios de la córnea, del iris y del cuerpo ciliar.",38,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
71,010.000.3461.00,NULL,102,0,0,"50 mg","Envase con 50 tabletas",50.00,71,"Inmunosupresión en trasplante renal. Lupus eritematoso sistémico. Dermatomiositis. Artritis reumatoide grave resistente a otros tratamientos.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
72,010.000.1969.01,NULL,102,0,0,"500 mg","Caja con 4 tabletas.",4.00,71,"Infecciones ocasionadas por gérmenes sensibles.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
73,010.000.0801.01,NULL,102,0,0,"Polvo Harina de soya 965 mg/g Polividona 20 mg/g","Caja con dos sobres individuales de 90 g.",2.00,69,Dermatitis,2,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
74,010.000.0801.00,NULL,102,0,0,"Polvo Harina de soya 965 mg/g Polividona 20 mg/g","Caja con un sobre individual de 90 g.",1.00,69,Dermatitis,2,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
75,010.000.0477.00,NULL,102,0,0,"10 mg","Caja con inhalador con 200 dosis de 50 microgramos",1.00,52,"Asma bronquial.",13,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
76,010.000.2508.00,NULL,102,0,0,"600 000 UI",NULL,1.00,49,NULL,NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
77,010.000.0861.00,NULL,103,0,0,"300 mg","Envase con 120 ml.",1.00,49,"Escabiasis. Pediculosis.",2,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
78,010.000.1938.00,NULL,102,0,0,"Benzatínica 600 000 UI Procaínica 300 000 UI Cristalina 300 000 UI","Caja con un frasco ámpula y diluyente con 3 ml. ",1.00,53,"Infecciones por bacterias gram positivas susceptibles.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
79,010.000.1923.00,NULL,102,0,0,"300000 UI/100000 UI","Caja con un frasco ámpula y 2 ml de diluyente.",1.00,53,"Infecciones por bacterias gram positivas susceptibles.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
80,010.000.1924.00,NULL,102,0,0,"600000 UI/200000 UI","Caja con un frasco ámpula y 2 ml de diluyente.",1.00,53,"Infecciones por bacterias gram positivas susceptibles.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
81,010.000.1921.00,NULL,102,0,0,"1000000 UI","Cajacon un frasco ámpula, con o sin 2 ml de diluyente.",1.00,53,"Infecciones de bacterias grampositivas sensibles.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
82,010.000.1933.00,NULL,102,0,0,"5 000 000 UI","Caja con un frasco ámpula.",1.00,53,"Infecciones de bacterias grampositivas sensibles.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
83,010.000.2510.00,NULL,102,0,0,"500 mg","Envase con un frasco ámpula con diluyente.",1.00,53,"Infecciones por bacterias gram positivas susceptibles.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
84,010.000.1925.00,NULL,102,0,0,"1 200 000 UI","Caja con un frasco ámpula y 5 ml de diluyente.",1.00,53,"Infecciones por bacterias gram positivas susceptibles.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
85,010.000.0822.00,NULL,102,0,0,"5 g/100 ml o 5 g/ 100 g ","Caja con un tubo con 30 ml.",1.00,73,"Acné vulgar. Antiseborreico.",2,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
86,010.000.0822.01,NULL,102,0,0,"5 g/100 ml o 5 g/ 100 g ","Caja con un tubo con 50 ml.",1.00,73,"Acné vulgar. Antiseborreico.",2,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
87,010.000.0822.02,NULL,102,0,0,"5 g/100 ml o 5 g/ 100 g ","Caja con un tubo con 60 g.",1.00,73,"Acné vulgar. Antiseborreico.",2,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
88,010.000.2141.00,NULL,102,0,0,"4 mg","Caja con un frasco ámpula o una ampolleta con 1 ml.",1.00,53,"Insuficiencia suprarrenal. Alteraciones inflamatorias. Estado de choque. ""Status"" asmático.",20,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
89,010.000.2119.00,NULL,102,0,0,"50 mg","Caja con un tubo con 30 g.",1.00,73,"Dermatosis agudas. Dermatitis aguda, atópica o de contacto, no complicada ni infectada.",2,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
90,010.000.0655.00,NULL,102,0,0,"200 mg","Caja con 30 tabletas.",30.00,71,Hiperlipidemias,39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
91,010.000.3619.00,NULL,102,0,0,"500 mg","Envase con 50 ampolletas de 10 ml. Cada ampolleta con 10 ml contiene: Bicarbonato de sodio 8.9 mEq.",50.00,39,"Acidosis metabólica. Auxiliar en el paro cardiaco. Alcalinización de anestésicos locales.",27,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
92,010.000.3618.00,NULL,102,0,0,"1 mg","Envase con frasco ámpula de 50 ml. El envase con 50 ml contiene: Bicarbonato de sodio 44.5 mEq.",1.00,53,"Acidosis metabólica. Auxiliar en el paro cardiaco. Alcalinización de anestésicos locales.",27,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
93,040.000.2653.00,NULL,102,0,0,"1 mg",NULL,5.00,39,NULL,NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
94,040.000.2652.00,NULL,102,0,0,"2 mg",NULL,50.00,71,NULL,NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
95,010.000.1263.00,NULL,106,0,0,"1.750 g","Frasco con 240 ml.",1.00,52,"Diarrea leve inespecífica.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
96,010.000.4420.00,NULL,102,0,0,"20 mg","Envase con gotero integral con 5 ml.",1.00,52,"Glaucoma de ángulo abierto.",38,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
97,010.000.1096.00,NULL,102,0,0,"2.5 mg","Caja con 14 tabletas.",14.00,71,"Inhibición de la lactancia. Hiperprolactinemia asociada con amenorrea y galactorrea. Acromegalia. Parkinsonismo.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
98,010.000.0271.00,NULL,102,0,0,"5 mg","Caja con un frasco con 30 ml.",1.00,52,"Anestesia epidural y caudal Anestesia local.",5,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
99,010.000.4055.00,NULL,102,0,0,"25 mg.  ","Envase con 5 ampolletas con 3 ml.",5.00,39,"Anestesia local. Bloqueo subaracnoideo.",6,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
100,040.000.2098.00,NULL,102,1,0,"20 mg","Envase con 4 parches.",4.00,66,"Dolor crónico de intensidad moderada a severa secundario a: Neoplasias. Enfermedad terminal. Traumatismos. Dolor neuropático.",54,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
101,040.000.2097.00,NULL,102,1,0,"100 µg","Envase con 4 parches.",4.00,66,"Dolor crónico de intensidad moderada a severa secundario a: Neoplasias. Enfermedad terminal. Traumatismos. Dolor neuropático.",54,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
102,040.000.4026.00,NULL,102,1,0,"1 kg","Envase con 6 ampolletas o frascos ámpula con 1 ml.",6.00,39,"Dolor de intensidad moderada a severa secundario a: Infarto agudo del miocardio. Neoplasias. Enfermedad terminal. Traumatismos.",14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
103,040.000.2100.00,NULL,102,1,0,"500 mg","Envase con 10 tabletas.",10.00,71,"Dolor de intensidad moderada a severa secundario a: Infarto agudo del miocardio. Neoplasias. Enfermedad terminal. Traumatismos.",52,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
104,040.000.2100.01,NULL,102,1,0,"1 g","Envase con 20 tabletas.",20.00,71,"Dolor de intensidad moderada a severa secundario a: Infarto agudo del miocardio. Neoplasias. Enfermedad terminal. Traumatismos.",52,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
105,010.000.1206.00,NULL,102,0,0,"10 mg","Caja con 10 grageas o tabletas.",10.00,71,"Espasmos y trastornos de la motilidad del tracto gastrointestinal. Espasmos y discinecias de las vìas biliares y urinarias. Dismenorrea.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
106,010.000.1207.00,NULL,102,0,0,"20 mg","Caja con 3 ampolletas de 1 ml.",3.00,39,"Espasmos y trastornos de la motilidad del tracto gastrointestinal. Espasmos y discinecias de las vìas biliares y urinarias. Dismenorrea.",32,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
107,010.000.2146.00,NULL,102,0,0,"20 mg/2.5 g","Caja con 5 ampolletas con 5 ml",5.00,39,"Dolor paroxístico, espasmo y cólicos del sistema gastrointestinal, de las vías biliares y de las vías urinarias, así como cuadros espás­ticos a nivel de los órganos genitales femeninos, dismenorrea.",NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
108,010.000.1006.00,NULL,106,0,0,"500 mg","Frasco con 12 comprimidos efervescentes.",12.00,46,Hipocalcemia,39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
109,010.000.1095.00,NULL,102,0,0,"0.25 µg","Caja con 50 cápsulas.",50.00,43,"Hipoparatiroidismo. Osteodistrofia renal.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
110,010.000.2530.00,NULL,102,0,0,"50 mg","Envase con 28 tabletas.",28.00,71,"Hipertensión arterial sistémica.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
111,010.000.0574.00,NULL,102,0,0,"25 mg","Caja con 30 tabletas. ",30.00,71,"Insuficiencia cardiaca. Hipertension Arterial Sistemica",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
112,040.000.2609.00,NULL,102,0,0,"Cloruro de sodio 0.9 g. Agua inyectable 100 ml",NULL,1.00,52,NULL,NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
113,040.000.2608.00,NULL,102,0,0,"200 mg",NULL,20.00,71,NULL,NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
114,040.000.2164.00,NULL,102,0,0,"400 mg",NULL,20.00,71,NULL,NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
115,010.000.1541.00,NULL,102,0,0,"100 µg","Caja con una ampolleta o frasco ámpula.",1.00,39,"Hemorragia posparto.",32,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
116,010.000.2242.00,NULL,98,0,0,"1 kg","Bolsa con un kg. (para uso en seres humanos).",1.00,27,"Intoxicación por: Acetaminofén. Anfetaminas. Aspirinas. Barbitúrico. Glucósidos cardiacos, Sulfonamidas. Metales pesados. Plaguicidas órganofosforados.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
