clues,jurisdiccion_id,tipo,nombre,activa,es_offline,director_id,created_at,updated_at,deleted_at
CSSSA000745,5,CS,"EL BOSQUE",1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000750,5,CS,CHAVAJEVAL,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000762,5,UM,"LAS DELICIAS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000774,7,CS,CACAHOATÁN,1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000786,7,NULL,MIXCUM,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000791,6,CS,"PLAYAS DE CATAZAJÁ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000803,6,UM,"BOCA DEL RÍO CHICO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000815,6,NULL,"CASA DE SALUD LA TUZA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000820,6,CS,"C.S. VILLA FRACCIONAMIENTO EL ROSARIO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000832,1,HBC,"H. B. C. DE CINTALAPA DE FIGUEROA",1,0,000117,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000844,1,CS,CINTALAPA,1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000861,1,CS,"FCO. I. MADERO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000873,1,CS,"LIC. GUSTAVO DÍAZ ORDAZ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000885,1,CS,"CS. 1 NUEVA TENOCHTITLAN",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000890,1,CS,"POMPOSO CASTELLANOS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000902,1,UM,"ELOY BORRAS AGUILAR",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000914,1,CS,VISTAHERMOSA,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000926,1,NULL,"UNIDAD MODELO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000931,1,UM,"PIMIENTA BERLÍN",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000943,1,NULL,"SAN MARCOS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000955,1,NULL,GUAMÚCHIL,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000960,1,NULL,"BENITO JUÁREZ II",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000972,1,CS,"EMILIANO ZAPATA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000996,1,NULL,"RIBERA LLANO GRANDE",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001001,1,CS,"LIC. BUENAVISTA MATA SANOS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001013,1,NULL,"JOSÉ MARÍA MORELOS Y PAVÓN",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001025,1,NULL,MORELIA,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001030,3,HO,"HOSPITAL GENERAL MARÍA IGNACIA GANDULFO COMITAN",1,0,0001103,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001042,3,CS,"COMITÁN DE DOMÍNGUEZ",1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001054,3,NULL,CAJCAM,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001066,3,NULL,"CHICHIMA CHACALJEMEL",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001071,3,NULL,HIDALGO,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001083,3,NULL,"JUZNAJAB LA LAGUNA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001095,3,NULL,"LAGUNA LARGA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001100,3,NULL,"SAN ANTONIO OGOTZIL",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001112,3,CS,"PRIMERO DE MAYO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001124,3,NULL,QUIJA,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001136,3,NULL,"SAN JOSÉ YOCNAJAB",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001165,3,NULL,"GUADALUPE PALMIRA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001170,3,CS,"STA. ROSALÍA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001182,4,CS,"NUEVA CONCORDIA",1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001194,4,CS,"BENITO JUÁREZ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001206,4,NULL,CUXTEPEQUES,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001211,4,CS,"DOLORES JALTENANGO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001223,4,CS,"GUADALUPE VICTORIA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001235,4,NULL,"NIÑOS HÉROES",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001240,4,NULL,"AGUA PRIETA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001252,4,CS,REFORMA,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001264,4,NULL,"LAS TORONJAS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001276,4,CS,"DIAMANTE DE ECHEVERRÍA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001281,4,CS,"EL ÁMBAR DE ECHEVERRÍA",1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001293,4,NULL,"PLAN DE LA LIBERTAD",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001305,4,NULL,"SAN FRANCISCO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001322,1,CS,COPAINALÁ,1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001334,1,NULL,CAMPECHE,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001346,1,NULL,"FRANCISCO SARABIA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001351,1,NULL,"MIGUEL HIDALGO (ZACALAPA)",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001363,1,NULL,"AGUSTÍN DE ITURBIDE",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001375,1,NULL,"BENITO JUÁREZ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001380,1,NULL,"LÁZARO CÁRDENAS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001416,2,,"MATERNIDAD CHAMULA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001421,2,NULL,"CRUZ QUEMADA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001433,2,CS,ICALUMTIC,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001445,2,CS,JOMALHO,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001450,2,CS,"RANCHO NARVÁEZ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001462,2,CS,ROMERILLO,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001474,2,CS,SACLAMANTÓN,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001491,2,NULL,"CRUZ CHOT",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001503,2,NULL,NICHÉN,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001515,2,NULL,JOLNAJOLTIC,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001520,2,CS,MAJOMUT,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001532,2,CS,CHANAL,1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001556,5,NULL,"CENTRO VALTIERRA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001561,2,CS,CHENALHÓ,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001573,2,CS,"BELISARIO DOMÍNGUEZ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001585,2,CS,"CHIMIX DOS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001602,2,CS,"COLONIA PUEBLA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001614,2,CS,"YABTECLUM PUEBLO NUEVO",1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001626,1,CS,"CHIAPA DE CORZO",1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001631,1,CS,"RIBERA EL AMATAL",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001643,1,NULL,"RIBERA DE CUPÍA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001655,1,NULL,"JUAN DE GRIJALVA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001660,1,NULL,"MIGUEL HIDALGO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001672,1,CS,"NARCISO MENDOZA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001684,1,UM,"PASO ACHIOTE",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001696,1,NULL,"VENUSTIANO CARRANZA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001701,1,NULL,"DR. MANUEL VELASCO SUÁREZ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001725,3,CS,CHICOMUSELO,1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001742,3,NULL,"CUATRO CAMINOS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001754,3,NULL,"MIGUEL ALEMÁN",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001766,3,NULL,"PIEDRA LABRADA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001771,3,CS,"LA PINTA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001783,3,NULL,"BARRIO POTRERILLOS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001795,3,CS,"MONTE SINAÍ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001800,3,NULL,ZACUALPA,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001812,3,CS,"NUEVA GRECIA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001824,9,CS,CHILÓN,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001836,9,CS,"AURORA GRANDE",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001841,9,CS,BACHAJÓN,1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001894,9,NULL,JOYBÉ,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001906,9,NULL,JOLAQUIL,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001911,9,CS,JOL-SACJÚN,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001923,9,NULL,"EL MAP",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001940,9,CS,MEQUEJA,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001952,9,CS,"PAMAL NAVIL",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA001976,9,CS,PINABETAL,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002005,9,NULL,"BAJ TRANCA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002010,9,CS,"JUNA SABINES VERAPAZ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002080,9,CS,"SACJÚN CUWITZ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002104,9,CS,"CURVA LIQUILWITZ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002121,9,NULL,WILIBJÁ,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002145,9,CS,"SAN ANTONIO BULUJIB",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002162,9,NULL,"NAHILTÉ 2DA. SECCIÓN",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002203,7,CS,"CENTRO DE SALUD CON HOSPITALIZACIÓN (ESCUINTLA)",1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002215,7,NULL,"FRACCIÓN BANDERAS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002220,7,NULL,"OVANDO TURQUÍA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002232,7,NULL,"SANTA EMILIA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002244,7,CS,"SAN FELIPE TIZAPA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002256,7,CS,"EL TRIUNFO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002261,7,CS,"CENTRO DE SALUD MANACAL LLANO GRANDE",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002273,1,CS,"SAN JOSÉ MASPAC",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002290,1,CS,"VICENTE GUERRERO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002314,3,CS,"FRONTERA COMALAPA",1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002326,3,NULL,"BELLAVISTA DEL NORTE",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002331,3,CS,"CD. CUAUHTÉMOC",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002343,3,NULL,"NUEVO MÉXICO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002355,3,NULL,"EL PORTAL",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002360,3,UM,"SANTA ROSA (BENITO JUÁREZ)",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002372,3,NULL,"EL TRIUNFO DE LAS TRES MARAVILLAS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002384,3,CS,VERAPAZ,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002396,3,NULL,"AGUA ZARCA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002401,7,CS,"FRONTERA HIDALGO",1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002413,7,NULL,"CANTÓN SANTA CRUZ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002425,10,NULL,"LA PINADA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002430,7,CS,HUEHUETÁN,1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002442,7,NULL,"COAPANTES BUENA VISTA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002454,7,NULL,"CANTÓN CHAMULAPA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002466,7,NULL,"SANTA ELENA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002483,2,CS,"LÁZARO CÁRDENAS CHILIL",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002495,2,UM,MACUSHTETIC,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA002500,2,CS,"SAN PEDRO PEDERNAL",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
